"source","target","strength"
1101053,1101053,216618.04
1101053,1101054,9515.38
1101053,1101055,20768.52
1101053,1101056,9813.07
1101053,1101057,7992.7
1101053,1101058,20308.62
1101053,1101060,7040.93
1101053,1101061,99041.0600000001
1101053,1101063,3214.63
1101053,1101064,7151.03
1101053,1101067,911.41
1101053,1101068,882.24
1101053,1101069,344.73
1101053,1101070,944.86
1101053,1101071,1770.9
1101053,1101072,60990.56
1101053,1101073,5599.26
1101053,1102052,39516.3
1101053,1102054,10439
1101053,1102055,35387.03
1101053,1102057,2540.81
1101053,1102058,2033.46
1101053,1102059,3285.64
1101053,1102060,4495.97
1101053,1102065,423.02
1101053,1102067,1383.75
1101053,1102068,2736.03
1101053,1102069,2113.24
1101053,1102070,1505.99
1101053,1102071,1682.16
1101053,1102072,1167.31
1101053,1102073,1107.23
1101053,1103051,1777.96
1101053,1103052,1617.59
1101053,1103053,3341.36
1101053,1103057,2100.64
1101053,1103058,1058.42
1101053,1103059,1223.43
1101053,1103063,3800.69
1101053,1103064,281.81
1101053,1103065,1337.42
1101053,1103066,1814.31
1101053,1103069,1844.7
1101053,1103070,815.66
1101053,1103071,3358.3
1101053,1103072,2608
1101053,1103073,6979.92
1101053,1103074,5436.55
1101053,1104052,782.07
1101053,1104054,1421.56
1101053,1104055,963.34
1101053,1104056,2163.74
1101053,1104057,1566.91
1101053,1104058,959.1
1101053,1104059,971.9
1101053,1104062,1042.9
1101053,1104065,880.61
1101053,1104066,1275.79
1101053,1104067,764.88
1101053,1104068,1687.01
1101053,1104069,251.45
1101053,1104070,559.31
1101053,1104071,1946.41
1101053,1104072,2289.14
1101053,1104073,2658.56
1101053,1105053,1058.18
1101053,1105054,688.25
1101053,1105055,773.44
1101053,1105056,771.08
1101053,1105057,672.55
1101053,1105058,1134.83
1101053,1105059,956.45
1101053,1105060,893.19
1101053,1105061,1357.26
1101053,1105062,1158.6
1101053,1105063,2057.64
1101053,1105064,924.2
1101053,1105065,951.49
1101053,1105066,1270.53
1101053,1105067,538.87
1101053,1106071,940.53
1101053,1106072,1023.65
1101053,1106073,810.87
1101053,1106080,1500.23
1101053,1106081,3464.13
1101053,1106082,2311.15
1101053,1106083,2806.16
1101053,1106084,638.23
1101053,1106086,1309.28
1101053,1106087,1778.74
1101053,1106088,1335.68
1101053,1106089,1202.73
1101053,1106090,939.73
1101053,1106091,1884.62
1101053,1107052,600.74
1101053,1107054,692.94
1101053,1107055,243.95
1101053,1107057,790.83
1101053,1107059,863.79
1101053,1107060,1143.66
1101053,1107061,463.71
1101053,1107062,1315.61
1101053,1107064,1040.14
1101053,1107065,770.03
1101053,1107068,324.09
1101053,1107069,1730.41
1101053,1107070,461.89
1101053,1107071,898.67
1101053,1107072,517.62
1101053,1107073,783.62
1101053,1108058,1176.41
1101053,1108059,1870.77
1101053,1108060,2015.14
1101053,1108061,2037.84
1101053,1108062,1266.67
1101053,1108063,2793.12
1101053,1108064,1950.64
1101053,1108065,2622.54
1101053,1108066,3551.02
1101053,1108068,1050.31
1101053,1108071,1108.08
1101053,1108072,1304.85
1101053,1108076,969.12
1101053,1108077,945.6
1101053,1108078,587.07
1101053,1108081,11347.47
1101053,1108082,3135.29
1101053,1108083,3826.9
1101053,1108084,2618.8
1101053,1108085,1494.36
1101053,1109060,1597.34
1101053,1109061,725.93
1101053,1109062,579.16
1101053,1109063,954.34
1101053,1109064,984.19
1101053,1109065,1483.88
1101053,1109069,1253.54
1101053,1109070,1420.87
1101053,1109071,2593.83
1101053,1109072,1677.02
1101053,1109073,2017.98
1101053,1109074,1490.72
1101053,1109075,1595.77
1101053,1110051,1218.36
1101053,1110052,916.97
1101053,1110053,603.95
1101053,1110054,1024.27
1101053,1110055,923.2
1101053,1110056,269.47
1101053,1110057,758.25
1101053,1110059,1350.96
1101053,1110060,1224.45
1101053,1110061,421.56
1101053,1110062,1443.87
1101053,1110063,1057.79
1101053,1110064,679.65
1101053,1110065,442.24
1101053,1111051,1243.51
1101053,1111052,874.22
1101053,1111053,1488.91
1101053,1111056,1653.56
1101053,1111058,1435.72
1101053,1111059,355.83
1101053,1111060,720.54
1101053,1111061,924.08
