"source","target","strength"
1101053,1101053,255863.9
1101053,1101054,16513.28
1101053,1101055,27087.02
1101053,1101056,12446.23
1101053,1101057,9562.71
1101053,1101058,24399.36
1101053,1101060,13528.4
1101053,1101061,150246.61
1101053,1101063,6187.54
1101053,1101064,10874.67
1101053,1101067,1767.47
1101053,1101068,1870.29
1101053,1101069,690.82
1101053,1101070,1150.37
1101053,1101071,2302.54
1101053,1101072,105623.75
1101053,1101073,9209.13
1101053,1102052,63626.65
1101053,1102054,16461.48
1101053,1102055,50887.82
1101053,1102057,4151.23
1101053,1102058,3047.84
1101053,1102059,5159.09
1101053,1102060,6552.64
1101053,1102065,610.82
1101053,1102067,1844.19
1101053,1102068,4199.48
1101053,1102069,2433.69
1101053,1102070,2292.03
1101053,1102071,1693.83
1101053,1102072,1953.73
1101053,1102073,1014.34
1101053,1103051,2220.64
1101053,1103052,2159.89
1101053,1103053,5088.93
1101053,1103057,2075.46
1101053,1103058,779.35
1101053,1103059,1661.88
1101053,1103063,5161.82
1101053,1103064,398.07
1101053,1103065,2513.93
1101053,1103066,2938.49
1101053,1103069,3385.5
1101053,1103070,1449.79
1101053,1103071,4062.91
1101053,1103072,3711.27
1101053,1103073,10819.18
1101053,1103074,7736.31
1101053,1104052,1015.47
1101053,1104054,1908.09
1101053,1104055,1285.51
1101053,1104056,1974.01
1101053,1104057,2531.97
1101053,1104058,1049.81
1101053,1104059,1632.75
1101053,1104062,1779.81
1101053,1104065,1248.44
1101053,1104066,1421.32
1101053,1104067,938.64
1101053,1104068,2346.71
1101053,1104069,315.77
1101053,1104070,1096.17
1101053,1104071,3298.21
1101053,1104072,2490.8
1101053,1104073,3619.23
1101053,1105053,2265.83
1101053,1105054,928.65
1101053,1105055,618.57
1101053,1105056,845.79
1101053,1105057,477.95
1101053,1105058,1290.49
1101053,1105059,1078.42
1101053,1105060,1158.42
1101053,1105061,1220.11
1101053,1105062,1826.27
1101053,1105063,2456.91
1101053,1105064,810.37
1101053,1105065,1051.73
1101053,1105066,1716.1
1101053,1105067,949.26
1101053,1106071,1151.15
1101053,1106072,2017.41
1101053,1106073,1137.25
1101053,1106080,1588.94
1101053,1106081,4186.09
1101053,1106082,3484.68
1101053,1106083,2795.71
1101053,1106084,793.09
1101053,1106086,1448.12
1101053,1106087,1956.55
1101053,1106088,1941.09
1101053,1106089,2027.09
