"source","target","strength"
1101053,1101053,210555.43
1101053,1101054,11444.68
1101053,1101055,21705.26
1101053,1101056,9190.77
1101053,1101057,6796.29
1101053,1101058,18828.56
1101053,1101060,7530.26
1101053,1101061,99729.38
1101053,1101063,3713.35
1101053,1101064,7000.37
1101053,1101067,875
1101053,1101068,1173.28
1101053,1101069,385.6
1101053,1101070,977.13
1101053,1101071,1602.1
1101053,1101072,65610.54
1101053,1101073,5073.54
1101053,1102052,39945.36
1101053,1102054,11306.33
1101053,1102055,33235.03
1101053,1102057,2398.38
1101053,1102058,1334.37
1101053,1102059,3600.68
1101053,1102060,4807.92
1101053,1102065,626.04
1101053,1102067,1584.95
1101053,1102068,2775.77
1101053,1102069,2416.68
1101053,1102070,1622.55
1101053,1102071,1619.89
1101053,1102072,954.13
1101053,1102073,891.78
1101053,1103051,1550.07
1101053,1103052,1933.54
1101053,1103053,3159.01
1101053,1103057,1631.25
1101053,1103058,893.76
1101053,1103059,1013.59
1101053,1103063,4334.31
1101053,1103064,311.78
1101053,1103065,1725.97
1101053,1103066,2488.12
1101053,1103069,2619.16
1101053,1103070,835.65
1101053,1103071,3029.81
1101053,1103072,2424.83
1101053,1103073,6273.88
1101053,1103074,6236.66
1101053,1104052,674.28
1101053,1104054,1432.09
1101053,1104055,1080.96
1101053,1104056,1647.77
1101053,1104057,1572.61
1101053,1104058,828.51
1101053,1104059,965.04
1101053,1104062,1012.72
1101053,1104065,943.73
1101053,1104066,1314.99
1101053,1104067,750.04
1101053,1104068,1571.91
1101053,1104069,295.06
1101053,1104070,891.92
1101053,1104071,2140.24
1101053,1104072,1888.37
1101053,1104073,2757.74
1101053,1105053,1122.57
1101053,1105054,581.94
1101053,1105055,529.51
1101053,1105056,712.07
1101053,1105057,589.63
1101053,1105058,907.44
1101053,1105059,901.63
1101053,1105060,1138.31
1101053,1105061,1208.95
1101053,1105062,991.37
1101053,1105063,2101.29
1101053,1105064,950.54
1101053,1105065,950.83
1101053,1105066,1056.77
1101053,1105067,594.13
1101053,1106071,862.35
1101053,1106072,1012.22
1101053,1106073,662.36
1101053,1106080,1209.24
1101053,1106081,3699.22
1101053,1106082,2644.86
1101053,1106083,2500.56
1101053,1106084,602.26
1101053,1106086,1199.48
1101053,1106087,1684.17
1101053,1106088,1065.62
1101053,1106089,1177.2
1101053,1106090,748.43
1101053,1106091,1800.56
1101053,1107052,639.48
1101053,1107054,700.02
1101053,1107055,311.21
1101053,1107057,872.67
1101053,1107059,911.22
1101053,1107060,976.43
1101053,1107061,483.62
1101053,1107062,1114.21
1101053,1107064,860.98
1101053,1107065,535.03
1101053,1107068,252.58
1101053,1107069,1328
1101053,1107070,389.93
1101053,1107071,752.11
1101053,1107072,449.43
