"source","target","strength"
1101053,1101053,340323.11
1101053,1101054,20022.56
1101053,1101055,30872.02
1101053,1101056,19367.32
1101053,1101057,13032.98
1101053,1101058,30784.17
1101053,1101060,15101.47
1101053,1101061,163780.67
1101053,1101063,6313.36
1101053,1101064,13213.5
1101053,1101067,2032.39
1101053,1101068,1875.61
1101053,1101069,980.02
1101053,1101070,1380.49
1101053,1101071,3016.48
1101053,1101072,138956.5
1101053,1101073,12128.31
1101053,1102052,74651.11
1101053,1102054,19650.78
1101053,1102055,74580.94
1101053,1102057,5497.04
1101053,1102058,3943.01
1101053,1102059,6555.74
1101053,1102060,6802.72
1101053,1102065,1071.11
1101053,1102067,2559.58
1101053,1102068,4373.75
1101053,1102069,2977.95
1101053,1102070,2359.34
1101053,1102071,2476.24
1101053,1102072,1967.62
1101053,1102073,1147.5
1101053,1103051,2927.05
1101053,1103052,3238.74
1101053,1103053,7491.67
1101053,1103057,2555.45
1101053,1103058,1175.22
1101053,1103059,1414.54
1101053,1103063,4708
1101053,1103064,450.83
1101053,1103065,2158.87
1101053,1103066,3345.37
1101053,1103069,4692.98
1101053,1103070,1532.64
1101053,1103071,4846.27
1101053,1103072,4232.39
1101053,1103073,15046.26
1101053,1103074,7678.12
1101053,1104052,943.82
1101053,1104054,2110.25
1101053,1104055,2321.12
1101053,1104056,2610.6
1101053,1104057,2801.04
1101053,1104058,1048.9
1101053,1104059,2016.27
1101053,1104062,1496.68
1101053,1104065,1367.95
1101053,1104066,1689.44
1101053,1104067,965.74
1101053,1104068,2544.12
1101053,1104069,554.85
1101053,1104070,1461.73
1101053,1104071,3919.24
1101053,1104072,2537.27
1101053,1104073,3469.05
1101053,1105053,3221.01
1101053,1105054,1247.17
1101053,1105055,839.85
1101053,1105056,1179.01
1101053,1105057,717.12
1101053,1105058,1268.86
1101053,1105059,1306.71
1101053,1105060,1376.25
1101053,1105061,1564.46
1101053,1105062,1982.1
1101053,1105063,3346.94
1101053,1105064,1043.18
1101053,1105065,1231.93
1101053,1105066,1731.57
1101053,1105067,1710.84
1101053,1106071,1921.24
1101053,1106072,2340.71
1101053,1106073,1210.78
1101053,1106080,1606.43
