"source","target","strength"
1101053,1101053,211618.37
1101053,1101054,11897.84
1101053,1101055,22292.02
1101053,1101056,12302
1101053,1101057,8746.73
1101053,1101058,20695.23
1101053,1101060,9804.44
1101053,1101061,115002.63
1101053,1101063,4097.05
1101053,1101064,7703.16
1101053,1101067,1779.85
1101053,1101068,1524.98
1101053,1101069,693.68
1101053,1101070,1450.33
1101053,1101071,2122.54
1101053,1101072,72792.2
1101053,1101073,6562.8
1101053,1102052,46115.69
1101053,1102054,11719.8
1101053,1102055,38781.34
1101053,1102057,3361.23
1101053,1102058,2359.43
1101053,1102059,3817.37
1101053,1102060,5502.19
1101053,1102065,636.3
1101053,1102067,1537.86
1101053,1102068,3305.85
1101053,1102069,2327.67
1101053,1102070,1874.47
1101053,1102071,1549.3
1101053,1102072,1425.71
1101053,1102073,799.61
1101053,1103051,1637.74
1101053,1103052,1704.05
1101053,1103053,3903.36
1101053,1103057,1963.34
1101053,1103058,869.29
1101053,1103059,1173.66
1101053,1103063,4279
1101053,1103064,390.97
1101053,1103065,1992.67
1101053,1103066,2594.61
1101053,1103069,3022.43
1101053,1103070,1171.58
1101053,1103071,2891.13
1101053,1103072,3112.05
1101053,1103073,9842.55
1101053,1103074,6578.14
1101053,1104052,883.9
1101053,1104054,1569.06
1101053,1104055,1327.95
1101053,1104056,1848.43
1101053,1104057,2123.07
1101053,1104058,906.26
1101053,1104059,1414.67
1101053,1104062,1294.21
1101053,1104065,1076.04
1101053,1104066,1658.88
1101053,1104067,917.97
1101053,1104068,2048.91
1101053,1104069,285.56
1101053,1104070,1394.76
1101053,1104071,2967.33
1101053,1104072,2047.06
1101053,1104073,3214.07
1101053,1105053,1663.12
1101053,1105054,725.67
1101053,1105055,560.26
1101053,1105056,663.68
1101053,1105057,469.93
1101053,1105058,968.93
1101053,1105059,829.64
1101053,1105060,1086.89
1101053,1105061,1221.19
1101053,1105062,1507.99
1101053,1105063,2110.76
1101053,1105064,786.14
1101053,1105065,801.38
1101053,1105066,1343.02
1101053,1105067,901.86
1101053,1106071,1073.51
1101053,1106072,1297.38
1101053,1106073,1103.73
1101053,1106080,1533.51
1101053,1106081,3673.33
1101053,1106082,3630.64
1101053,1106083,2166.55
1101053,1106084,827.95
1101053,1106086,1414.71
1101053,1106087,1647.61
1101053,1106088,1829.73
1101053,1106089,1537.71
1101053,1106090,1509.02
1101053,1106091,2328.42
1101053,1107052,703.88
1101053,1107054,552.17
1101053,1107055,216.67
1101053,1107057,834.76
1101053,1107059,496.71
1101053,1107060,1168.9
1101053,1107061,494.98
1101053,1107062,813.52
1101053,1107064,1150.08
1101053,1107065,873.95
1101053,1107068,490.89
1101053,1107069,1687.51
1101053,1107070,784.05
1101053,1107071,836.44
1101053,1107072,563.15
1101053,1107073,1179.6
1101053,1108058,1053.76
1101053,1108059,2041.49
1101053,1108060,2002.11
1101053,1108061,2610.48
1101053,1108062,1773.06
1101053,1108063,2402.78
1101053,1108064,1808.56
1101053,1108065,2072.69
1101053,1108066,2702.1
1101053,1108068,1554.16
1101053,1108071,1617.93
1101053,1108072,1264.55
1101053,1108076,1503.81
1101053,1108077,481.84
1101053,1108078,497.75
1101053,1108081,12459.94
1101053,1108082,3569.26
1101053,1108083,3552.61
1101053,1108084,2579.3
1101053,1108085,1334.09
1101053,1109060,1176.8
1101053,1109061,851.39
1101053,1109062,703.36
1101053,1109063,1110.03
1101053,1109064,1100.38
1101053,1109065,1055.1
1101053,1109069,1538.29
1101053,1109070,1735.64
1101053,1109071,2370.81
1101053,1109072,2171.32
1101053,1109073,2156.38
1101053,1109074,1390.24
1101053,1109075,2021.07
1101053,1110051,828.6
1101053,1110052,976.93
1101053,1110053,1125.39
