"source","target","strength"
1101053,1101053,170955.1
1101053,1101054,7748.08
1101053,1101055,16781.67
1101053,1101056,6593.51
1101053,1101057,5404.34
1101053,1101058,15355.41
1101053,1101060,5010.68
1101053,1101061,75624.0200000001
1101053,1101063,3344.29
1101053,1101064,5349.43
1101053,1101067,1175.1
1101053,1101068,959.49
1101053,1101069,361.19
1101053,1101070,950.33
1101053,1101071,1326.09
1101053,1101072,44413.59
1101053,1101073,4262.97
1101053,1102052,35059.02
1101053,1102054,10826.3
1101053,1102055,26521.83
1101053,1102057,2515.41
1101053,1102058,1176.07
1101053,1102059,3346.74
1101053,1102060,3411.76
1101053,1102065,477.06
1101053,1102067,1038.24
1101053,1102068,2845.83
1101053,1102069,2502.84
1101053,1102070,1575.23
1101053,1102071,1465.16
1101053,1102072,1124.15
1101053,1102073,793.54
1101053,1103051,1403.24
1101053,1103052,1380.38
1101053,1103053,2886.6
1101053,1103057,2040.76
1101053,1103058,882.53
1101053,1103059,824.07
1101053,1103063,3924
1101053,1103064,380.05
1101053,1103065,1580.65
1101053,1103066,2069.56
1101053,1103069,3075.05
1101053,1103070,902.17
1101053,1103071,2321.86
1101053,1103072,2827.76
1101053,1103073,7310.2
1101053,1103074,5305.56
1101053,1104052,870.6
1101053,1104054,1630.38
1101053,1104055,1095.06
1101053,1104056,1219.15
1101053,1104057,1683.18
1101053,1104058,878.96
1101053,1104059,1114.25
1101053,1104062,1097.57
1101053,1104065,655.49
1101053,1104066,1193.41
1101053,1104067,670.47
1101053,1104068,1132.8
1101053,1104069,302.32
1101053,1104070,986.43
1101053,1104071,2204.4
1101053,1104072,1625.24
1101053,1104073,2556.8
1101053,1105053,882.71
1101053,1105054,866.41
1101053,1105055,595.96
1101053,1105056,715
1101053,1105057,571.26
1101053,1105058,812.65
1101053,1105059,780.75
1101053,1105060,1134.27
1101053,1105061,1006.87
1101053,1105062,1036.77
1101053,1105063,1729.84
1101053,1105064,806.52
1101053,1105065,675.16
1101053,1105066,1179.7
1101053,1105067,645.19
1101053,1106071,1147.58
1101053,1106072,1052.63
1101053,1106073,567.24
1101053,1106080,1606.46
1101053,1106081,3244.48
1101053,1106082,2606.08
1101053,1106083,2273.28
1101053,1106084,485.64
1101053,1106086,1084.51
1101053,1106087,1367.96
1101053,1106088,1390.28
1101053,1106089,1253.65
1101053,1106090,1023.02
1101053,1106091,2003.49
1101053,1107052,774.96
1101053,1107054,459.78
1101053,1107055,212.59
1101053,1107057,1053.98
1101053,1107059,706.57
1101053,1107060,713.22
1101053,1107061,591.15
1101053,1107062,858.25
1101053,1107064,980.69
1101053,1107065,544.51
1101053,1107068,516.05
1101053,1107069,1435.66
1101053,1107070,567.22
1101053,1107071,701.08
1101053,1107072,490.19
1101053,1107073,955.78
1101053,1108058,894.96
1101053,1108059,1633.05
1101053,1108060,1329.55
1101053,1108061,1889.49
1101053,1108062,1502.01
1101053,1108063,2506.78
1101053,1108064,1476.53
1101053,1108065,2105.2
1101053,1108066,2545.12
1101053,1108068,1211.86
1101053,1108071,1407.75
1101053,1108072,1244.21
1101053,1108076,1100.71
1101053,1108077,327.72
1101053,1108078,448.41
1101053,1108081,8809.13
1101053,1108082,3427.96
1101053,1108083,2832.06
1101053,1108084,2096.73
1101053,1108085,1464.97
1101053,1109060,1155.25
1101053,1109061,744.46
1101053,1109062,578.26
1101053,1109063,846.83
1101053,1109064,871.33
1101053,1109065,1011.86
1101053,1109069,1350.86
1101053,1109070,1239.13
1101053,1109071,2325.96
1101053,1109072,1408.85
1101053,1109073,2112.86
1101053,1109074,1180.13
1101053,1109075,1559.57
1101053,1110051,731.72
1101053,1110052,884.64
1101053,1110053,933.7
1101053,1110054,1153.36
1101053,1110055,968.1
1101053,1110056,388.71
1101053,1110057,965.3
1101053,1110059,969.73
1101053,1110060,1639.09
1101053,1110061,271.39
1101053,1110062,1700.57
1101053,1110063,913.46
1101053,1110064,884.96
1101053,1110065,1070.71
1101053,1111051,1101.65
1101053,1111052,1205.45
1101053,1111053,1163.52
1101053,1111056,1225.59
1101053,1111058,1396.12
1101053,1111059,435.94
1101053,1111060,1351.93
1101053,1111061,756.57
1101053,1111064,698.83
1101053,1111065,947.89
1101053,1111066,1438.01
1101053,1111069,881.81
1101053,1111072,984.97
1101053,1111073,743.04
1101053,1111074,540.04
1101053,1111076,482.94
1101053,1111077,1454
1101053,1111078,897.25
1101053,1111079,1357.38
1101053,1112051,8950.87999999999
1101053,1112052,6000.12
1101053,1112055,3495.88
1101053,1112056,1955.11
1101053,1112057,2377.22
1101053,1112058,5572.33
1101053,1112059,3977.93
1101053,1112060,2185.88
1101053,1112065,2268.56
1101053,1112066,1300.83
1101053,1112067,993.98
1101053,1112068,1063.07
1101053,1112071,10016.25
1101053,1112072,3598.24
1101053,1112073,1993.83
1101053,1112074,2918.47
1101053,1113052,10987.3
1101053,1113062,9017.05
1101053,1113064,3520.73
1101053,1113065,2921.2
1101053,1113066,4196.66
1101053,1113068,5128.52
1101053,1113069,1555.08
1101053,1113070,2165.11
1101053,1113071,1323.97
1101053,1113072,2742.7
1101053,1113073,24820.67
1101053,1113074,18233.09
1101053,1113075,11527.03
1101053,1113076,6549.29
1101053,1114059,4114.38
1101053,1114060,2439.64
1101053,1114061,1742.96
1101053,1114063,2229.26
1101053,1114066,6743.31
1101053,1114068,1322.09
1101053,1114069,1362.26
1101053,1114070,1099.17
1101053,1114071,1575.4
1101053,1114072,1680.07
