"source","target","strength"
1101053,1101053,312576.62
1101053,1101054,18348.84
1101053,1101055,31572.44
1101053,1101056,15112.67
1101053,1101057,11549.19
1101053,1101058,28527.1
1101053,1101060,13221.71
1101053,1101061,154406.64
1101053,1101063,5911.05
1101053,1101064,11721.68
1101053,1101067,2085.63
1101053,1101068,1991.84
1101053,1101069,827.49
1101053,1101070,1312.79
1101053,1101071,2645.6
1101053,1101072,144172.57
1101053,1101073,9997.54
1101053,1102052,65942.67
1101053,1102054,19204.38
1101053,1102055,63074.22
1101053,1102057,5443.35
1101053,1102058,3910.87
1101053,1102059,6498.61
1101053,1102060,7182
1101053,1102065,867.59
1101053,1102067,2199.31
1101053,1102068,4183.66
1101053,1102069,2953.52
1101053,1102070,2628.37
1101053,1102071,1934.97
1101053,1102072,2241.96
1101053,1102073,1070.56
1101053,1103051,2544.19
1101053,1103052,3064.66
1101053,1103053,7109.86
1101053,1103057,2642.14
1101053,1103058,1093.67
1101053,1103059,1582.82
1101053,1103063,4823.17
1101053,1103064,477.6
1101053,1103065,2959.67
1101053,1103066,3853.98
1101053,1103069,5061.72
1101053,1103070,1455.87
1101053,1103071,3998.07
1101053,1103072,4127.37
1101053,1103073,14909.31
1101053,1103074,7935.39
1101053,1104052,1071.2
1101053,1104054,2111.96
1101053,1104055,1704.08
1101053,1104056,2372.45
1101053,1104057,3230.06
1101053,1104058,880.42
1101053,1104059,1740.85
1101053,1104062,1410.96
1101053,1104065,1526.2
1101053,1104066,1678.65
1101053,1104067,1226.82
1101053,1104068,2220.95
1101053,1104069,442.56
1101053,1104070,1422.86
1101053,1104071,3939.16
1101053,1104072,2356.22
1101053,1104073,3712.2
1101053,1105053,2195.56
1101053,1105054,834.44
1101053,1105055,756.47
1101053,1105056,1367.12
1101053,1105057,576.65
1101053,1105058,1298.95
1101053,1105059,1172.56
1101053,1105060,1401.62
1101053,1105061,1423.07
1101053,1105062,2117.59
1101053,1105063,2803
1101053,1105064,979.93
1101053,1105065,1283.75
1101053,1105066,2000.72
1101053,1105067,1370.42
1101053,1106071,1607.69
1101053,1106072,1871.98
1101053,1106073,1187.25
1101053,1106080,1883.7
1101053,1106081,4666.48
1101053,1106082,3766.62
1101053,1106083,2890.48
1101053,1106084,1066.24
1101053,1106086,1155.06
1101053,1106087,2745.53
1101053,1106088,2147.64
1101053,1106089,2441.41
1101053,1106090,1516.38
1101053,1106091,2898.44
1101053,1107052,796.19
1101053,1107054,678.86
1101053,1107055,406.97
1101053,1107057,981.16
1101053,1107059,610.29
1101053,1107060,1664.17
1101053,1107061,451.12
1101053,1107062,1362.48
1101053,1107064,1143.59
1101053,1107065,957.6
1101053,1107068,513.72
1101053,1107069,1650.64
1101053,1107070,976.26
1101053,1107071,1215.03
1101053,1107072,775.66
1101053,1107073,1734.15
1101053,1108058,1588.66
1101053,1108059,2267.47
1101053,1108060,2972.89
1101053,1108061,2508.89
1101053,1108062,1923.67
1101053,1108063,3360.04
1101053,1108064,2485.88
1101053,1108065,3046.46
1101053,1108066,3860.42
1101053,1108068,2204.87
1101053,1108071,2355.98
1101053,1108072,1567.45
1101053,1108076,1501.5
1101053,1108077,1128.98
1101053,1108078,532.09
1101053,1108081,13275.76
1101053,1108082,4943.19
1101053,1108083,5170.46
1101053,1108084,3192.6
1101053,1108085,1880.34
1101053,1109060,1245.34
1101053,1109061,789.65
1101053,1109062,1069.9
1101053,1109063,1188.6
1101053,1109064,1618.96
1101053,1109065,1770.24
1101053,1109069,1585.32
1101053,1109070,1661.75
1101053,1109071,2800.08
1101053,1109072,3019.02
1101053,1109073,2501.41
1101053,1109074,1614.35
1101053,1109075,1972.54
1101053,1110051,950.87
1101053,1110052,1032.79
1101053,1110053,1061.19
1101053,1110054,1192.88
1101053,1110055,1429.65
1101053,1110056,239.69
1101053,1110057,1457.75
1101053,1110059,1524.21
1101053,1110060,1869.27
1101053,1110061,307.74
1101053,1110062,2300.94
1101053,1110063,1519.5
1101053,1110064,1257.36
1101053,1110065,690.69
1101053,1111051,2251.95
1101053,1111052,1037.41
1101053,1111053,1566.9
1101053,1111056,1923.24
1101053,1111058,1769.5
1101053,1111059,718.75
1101053,1111060,1235.77
1101053,1111061,1125.91
1101053,1111064,868.2
1101053,1111065,1596.56
1101053,1111066,1853.29
1101053,1111069,1065.86
1101053,1111072,1440.88
1101053,1111073,1188.59
1101053,1111074,536.2
1101053,1111076,1084.9
1101053,1111077,2300.7
1101053,1111078,1212.89
1101053,1111079,2139.37
1101053,1112051,10066.28
1101053,1112052,7726.88
1101053,1112055,5050.99
1101053,1112056,2631.76
1101053,1112057,3326.16
1101053,1112058,9748.87
1101053,1112059,6178.03
1101053,1112060,2454.46
1101053,1112065,3202.28
1101053,1112066,1568.61
1101053,1112067,1549.4
1101053,1112068,1551.08
1101053,1112071,14617.5
1101053,1112072,3864.54
1101053,1112073,2335.59
1101053,1112074,4154.68
1101053,1113052,18214.76
1101053,1113062,11885.33
1101053,1113064,7201.17
1101053,1113065,6153.09
1101053,1113066,6964.99
1101053,1113068,6002.89
1101053,1113069,1205.65
1101053,1113070,3500.76
1101053,1113071,1922.51
1101053,1113072,4335.52
1101053,1113073,41828.84
1101053,1113074,45159.45
1101053,1113075,17868.72
1101053,1113076,9262.69
1101053,1114059,6336.92
1101053,1114060,4834.67
1101053,1114061,3013.93
1101053,1114063,2838.56
1101053,1114066,14701.3
1101053,1114068,2335.43
1101053,1114069,2463.43
1101053,1114070,1711.97
1101053,1114071,2805.99
1101053,1114072,2846.01
1101053,1114073,5244.41
1101053,1114074,5713.57
1101053,1114075,5467.69
1101053,1114076,4093.65
1101053,1114077,11553.25
1101053,1114078,7091.77
1101053,1115051,4316.66
1101053,1115052,2201.43
1101053,1115053,602.36
1101053,1115054,1641.2
1101053,1115057,596.24
1101053,1115058,579.44
1101053,1115059,471.88
1101053,1115060,226.87
1101053,1115061,436.08
1101053,1115062,201.29
1101053,1115063,859.6
1101053,1115064,632.25
1101053,1115065,1202.22
1101053,1115066,2507.52
1101053,1115069,1579.56
1101053,1115070,1514.73
1101053,1115071,2796.99
1101053,1115072,2954.48
1101053,1116051,2539.88
1101053,1116052,1659.57
1101053,1116053,993.78
1101053,1116054,3050.93
1101053,1116055,1831.4
1101053,1116057,590.22
1101053,1116058,1117.28
1101053,1116059,1075.22
1101053,1116061,1554.51
1101053,1116063,2066.99
1101053,1116064,2734.41
1101053,1116065,1389.23
1101053,1116066,846.4
1101053,1116067,2224.55
1101053,1116069,2167.3
1101053,1116070,1558.14
1101053,1116071,1284.98
1101053,1116072,1384.88
1101053,1116073,2318.56
1101053,1116074,2052.9
1101053,1117051,2682.53
1101053,1117052,887.83
1101053,1117054,1793.34
1101053,1117055,864.35
1101053,1117056,2117.92
1101053,1117061,1218.13
1101053,1117062,453.32
1101053,1117064,889.98
1101053,1117065,506.96
1101053,1117067,508.8
1101053,1117068,1836.99
1101053,1117069,1037.6
1101053,1117070,94.84
1101053,1117071,948.94
1101053,1117072,1084.3
1101053,1118051,2186.05
1101053,1118052,1387.52
1101053,1118053,291.71
1101053,1118054,578.56
1101053,1118055,481.31
1101053,1118057,664.88
1101053,1118058,627.16
1101053,1118059,506.89
1101053,1118060,281.31
1101053,1118061,230.2
1101053,1119054,23790.08
1101053,1119055,3052.29
1101053,1119056,3503.98
1101053,1119061,2022.28
1101053,1119062,2061.89
1101053,1119063,1680.99
1101053,1119065,439.7
1101053,1119066,654.74
1101053,1119067,380.1
1101053,1119068,1009.27
1101053,1119069,739.71
1101053,1119070,496.56
1101053,1119071,1360.88
1101053,1119072,1683.7
1101053,1119073,2125.31
1101053,1119074,6689.7
1101053,1119075,1504.64
1101053,1119076,2973.01
1101053,1120052,1272.41
1101053,1120053,2889.41
1101053,1120054,1036.43
1101053,1120055,803.97
1101053,1120056,860.7
1101053,1120063,1622.66
1101053,1120065,1099.06
1101053,1120066,704.3
1101053,1120067,621.12
1101053,1120068,2053.47
1101053,1120069,906.62
1101053,1120070,1255.79
1101053,1120071,2358.36
1101053,1120072,2146.23
1101053,1120073,2535.38
1101053,1121052,888.57
1101053,1121054,932.95
1101053,1121057,1224.68
1101053,1121058,1405.6
1101053,1121061,728.93
1101053,1121062,1113.38
1101053,1121063,1569.05
1101053,1121064,1343.9
1101053,1121065,479.3
1101053,1121066,636.63
1101053,1121068,640.15
1101053,1121069,1125.27
1101053,1121071,345.44
1101053,1121072,1093.46
1101053,1121073,1930.75
1101053,1121078,1062.11
1101053,1121079,1098.96
1101053,1121080,2058.99
1101053,1121081,390.66
1101053,1121082,712.29
1101053,1121083,1035.23
1101053,1122051,3431.44
1101053,1122052,4140.86
1101053,1122053,10069.51
1101053,1122054,4241.91
1101053,1122055,3427.33
1101053,1122056,178.42
1101053,1122057,2938.36
1101053,1122058,2591.06
1101053,1122059,2403.06
1101053,1122060,8122.11
1101053,1122061,1493.64
1101053,1122062,1195.93
1101053,1122063,1502.72
1101053,1122064,956.82
1101053,1122065,2781.61
1101053,1122066,3523.46
1101053,1122067,2444
1101053,1122068,1170
1101053,1123051,6317.73
1101053,1123052,4108.94
1101053,1123053,4249.98
1101053,1123058,4753.62
1101053,1123059,2458.65
1101053,1123060,2697.66
1101053,1123063,2266.13
1101053,1123064,9459.31
1101053,1123065,2497.02
1101053,1123066,2772
1101053,1123067,2720.6
1101053,1123068,815.42
1101053,1123071,959.84
1101053,1123072,1508.75
1101053,1123073,604.44
1101053,1123074,829.39
1101053,1123075,963.28
1101053,1123076,1742.56
1101053,1123077,7491.43
1101053,1123078,4109
1101053,1123079,4241.93
1101053,1123080,1831.77
1101053,1124051,622.04
1101053,1124052,1388.73
1101053,1124053,530.98
1101053,1124054,837.12
1101053,1124055,210.69
1101053,1124056,320.96
1101053,1124057,942.24
1101053,1124058,1533.11
1101053,1124059,966.52
1101053,1124060,1649.56
1101053,1124061,1312.1
1101053,1124062,1049.92
1101053,1124063,1202.76
1101053,1124064,1052.36
1101053,1124065,1609.85
1101053,1124066,1563.49
1101053,1124067,1113.15
1101053,1124068,659.28
1101053,1124069,1766.66
1101053,1124071,1970.92
1101053,1124075,1491.93
1101053,1124077,3529.07
1101053,1124078,753.42
1101053,1124079,2169.15
