"source","target","strength"
1101053,1101053,269684.73
1101053,1101054,15039.56
1101053,1101055,26981.82
1101053,1101056,12131.62
1101053,1101057,8137.74
1101053,1101058,22819.15
1101053,1101060,10108.54
1101053,1101061,142813.49
1101053,1101063,5092.24
1101053,1101064,8136.85
1101053,1101067,1144.16
1101053,1101068,1855.85
1101053,1101069,391.1
1101053,1101070,872.11
1101053,1101071,1860.53
1101053,1101072,77923.03
1101053,1101073,7271.65
1101053,1102052,55298.06
1101053,1102054,16805.51
1101053,1102055,51190.3
1101053,1102057,4154.12
1101053,1102058,2346.5
1101053,1102059,5095.57
1101053,1102060,6554.25
1101053,1102065,835.98
1101053,1102067,1533.73
1101053,1102068,4111.7
1101053,1102069,2944.68
1101053,1102070,2356.94
1101053,1102071,2433.6
1101053,1102072,1196.92
1101053,1102073,1388.16
1101053,1103051,2205.6
1101053,1103052,1898.84
1101053,1103053,4103.6
1101053,1103057,2351.42
1101053,1103058,1100.65
1101053,1103059,1308.74
1101053,1103063,5215.11
1101053,1103064,442.49
1101053,1103065,1780.74
1101053,1103066,3060.84
1101053,1103069,3663.42
1101053,1103070,1267.45
1101053,1103071,4029.14
1101053,1103072,3611.97
1101053,1103073,10331.58
1101053,1103074,7735.55
1101053,1104052,967.38
1101053,1104054,2017.72
1101053,1104055,1263.69
1101053,1104056,2336.91
1101053,1104057,2530.96
1101053,1104058,949.33
1101053,1104059,1283.57
1101053,1104062,1530.94
1101053,1104065,1114.67
1101053,1104066,1538.02
1101053,1104067,959.07
1101053,1104068,1955.97
1101053,1104069,339.85
1101053,1104070,1002.01
1101053,1104071,2975.43
1101053,1104072,2493.68
1101053,1104073,3622.2
1101053,1105053,1538.65
1101053,1105054,687.96
1101053,1105055,595.06
1101053,1105056,1159.4
1101053,1105057,437.35
1101053,1105058,1060.14
1101053,1105059,1243.51
1101053,1105060,1556.22
1101053,1105061,1316
1101053,1105062,1349.01
1101053,1105063,2530.89
1101053,1105064,986.53
1101053,1105065,884.49
1101053,1105066,1731.22
1101053,1105067,1247.17
1101053,1106071,1328.4
1101053,1106072,1202.34
1101053,1106073,973.98
1101053,1106080,1661.59
1101053,1106081,4640.47
1101053,1106082,2832.43
1101053,1106083,2819.42
1101053,1106084,753.04
1101053,1106086,1395.51
1101053,1106087,1978.68
1101053,1106088,1344.25
1101053,1106089,1465.71
1101053,1106090,1107.42
1101053,1106091,2419.36
1101053,1107052,888.97
1101053,1107054,727.68
1101053,1107055,298.38
1101053,1107057,1152.13
1101053,1107059,964
1101053,1107060,1134.67
1101053,1107061,595.45
1101053,1107062,1327.31
1101053,1107064,1045.85
1101053,1107065,776.67
1101053,1107068,843.95
1101053,1107069,1650.14
1101053,1107070,476.96
1101053,1107071,837.8
1101053,1107072,405.19
1101053,1107073,1249.03
1101053,1108058,1257.7
1101053,1108059,2301
1101053,1108060,2698.68
1101053,1108061,2525.61
1101053,1108062,1773.12
1101053,1108063,3337.89
1101053,1108064,2628.31
1101053,1108065,2600.9
1101053,1108066,3593.33
1101053,1108068,1557.67
1101053,1108071,1696.13
1101053,1108072,1868.28
1101053,1108076,1342.33
1101053,1108077,498.56
1101053,1108078,675.24
1101053,1108081,14789.83
1101053,1108082,3737.69
1101053,1108083,4645.47
1101053,1108084,3065.25
1101053,1108085,1755
1101053,1109060,1789.86
1101053,1109061,867.28
1101053,1109062,660.18
1101053,1109063,1081.67
1101053,1109064,967.77
1101053,1109065,1658.03
1101053,1109069,1693.41
1101053,1109070,1723.16
1101053,1109071,3068.24
1101053,1109072,2291.48
1101053,1109073,2897.18
1101053,1109074,1825.93
1101053,1109075,1799
1101053,1110051,1201.82
1101053,1110052,1139.89
1101053,1110053,855.85
1101053,1110054,1356.46
1101053,1110055,1197.65
1101053,1110056,503.59
1101053,1110057,927.53
1101053,1110059,1345.16
1101053,1110060,1802.08
1101053,1110061,330.86
1101053,1110062,1921.88
1101053,1110063,1230.18
1101053,1110064,908
1101053,1110065,648.12
1101053,1111051,1112.68
1101053,1111052,1225.62
1101053,1111053,1888.72
1101053,1111056,1548.98
