"source","target","strength"
1101053,1101053,255557.97
1101053,1101054,12596.57
1101053,1101055,25471.94
1101053,1101056,11097.92
1101053,1101057,7087.96
1101053,1101058,22008.27
1101053,1101060,8702.47
1101053,1101061,125183.17
1101053,1101063,4684.03
1101053,1101064,7353.61
1101053,1101067,899.01
1101053,1101068,1724.44
1101053,1101069,422.54
1101053,1101070,840.85
1101053,1101071,1891.1
1101053,1101072,75414.19
1101053,1101073,6041.36
1101053,1102052,54625.48
1101053,1102054,15099.65
1101053,1102055,47275.26
1101053,1102057,3499.78
1101053,1102058,2114.68
1101053,1102059,4647.61
1101053,1102060,5896.85
1101053,1102065,790.48
1101053,1102067,1532.84
1101053,1102068,3598.8
1101053,1102069,2720.62
1101053,1102070,1882.61
1101053,1102071,2227.16
1101053,1102072,1147.91
1101053,1102073,1156.81
1101053,1103051,1900
1101053,1103052,1981.41
1101053,1103053,3905.61
1101053,1103057,2278.73
1101053,1103058,984.13
1101053,1103059,1193.03
1101053,1103063,5350.59
1101053,1103064,403.31
1101053,1103065,1692.06
1101053,1103066,3172.93
1101053,1103069,3329.24
1101053,1103070,1042.81
1101053,1103071,3732.21
1101053,1103072,3316.92
1101053,1103073,8397.16
1101053,1103074,6633.76
1101053,1104052,929.96
1101053,1104054,1810.6
1101053,1104055,1236.3
1101053,1104056,2149
1101053,1104057,2295.13
1101053,1104058,803.14
1101053,1104059,1205.7
1101053,1104062,1339.87
1101053,1104065,972.22
1101053,1104066,1487.86
1101053,1104067,656.08
1101053,1104068,1673.19
1101053,1104069,344.02
1101053,1104070,1033.86
1101053,1104071,2913.44
1101053,1104072,2236.98
1101053,1104073,3421.25
1101053,1105053,1315.01
1101053,1105054,627.91
1101053,1105055,610.24
1101053,1105056,968.79
1101053,1105057,514
1101053,1105058,997.12
1101053,1105059,1203.07
1101053,1105060,1222.09
1101053,1105061,1217.29
1101053,1105062,1288.78
1101053,1105063,2674.73
1101053,1105064,927.16
1101053,1105065,956.81
1101053,1105066,1561.89
1101053,1105067,879.3
1101053,1106071,1000.71
1101053,1106072,1206.43
1101053,1106073,838.36
1101053,1106080,2050.45
1101053,1106081,3922.83
1101053,1106082,2625.63
1101053,1106083,2612.74
1101053,1106084,673.77
1101053,1106086,1309.15
1101053,1106087,1904.33
1101053,1106088,1330.09
1101053,1106089,1551.27
1101053,1106090,924.25
1101053,1106091,2368.15
1101053,1107052,719.14
1101053,1107054,769.04
1101053,1107055,194.68
1101053,1107057,944.49
1101053,1107059,1175.17
1101053,1107060,1145.21
1101053,1107061,456.77
1101053,1107062,1215.81
1101053,1107064,1024.01
1101053,1107065,668.13
1101053,1107068,845.47
1101053,1107069,1433.3
1101053,1107070,546.14
1101053,1107071,684.27
1101053,1107072,496.34
1101053,1107073,1246.61
1101053,1108058,1122.07
1101053,1108059,2362.99
1101053,1108060,2436.53
1101053,1108061,2465.79
