"source","target","strength"
1101053,1101053,278062.34
1101053,1101054,14920.35
1101053,1101055,31078.08
1101053,1101056,15224.07
1101053,1101057,11688.99
1101053,1101058,27516.84
1101053,1101060,12137.9
1101053,1101061,134869.51
1101053,1101063,5951.44
1101053,1101064,12223.88
1101053,1101067,2193.7
1101053,1101068,2100.15
1101053,1101069,823.24
1101053,1101070,1305.2
1101053,1101071,2759.75
1101053,1101072,95664.18
1101053,1101073,11518.32
1101053,1102052,67698.54
1101053,1102054,21278.07
1101053,1102055,60453.07
1101053,1102057,4507.86
1101053,1102058,3484.02
1101053,1102059,5903.38
1101053,1102060,6981.45
1101053,1102065,1026.45
1101053,1102067,2454.08
1101053,1102068,5546.55
1101053,1102069,3823.14
1101053,1102070,3125.93
1101053,1102071,2344.7
1101053,1102072,2608.75
1101053,1102073,1436.07
1101053,1103051,2432.5
1101053,1103052,2676.56
1101053,1103053,6212.43
1101053,1103057,2778.93
1101053,1103058,1000.91
1101053,1103059,1849.32
1101053,1103063,5772.3
1101053,1103064,579
1101053,1103065,2811.38
1101053,1103066,3751.45
1101053,1103069,5802.47
1101053,1103070,1682.78
1101053,1103071,4596.11
1101053,1103072,4944.22
1101053,1103073,14004.65
1101053,1103074,9575.26
1101053,1104052,1571.21
1101053,1104054,2559.53
1101053,1104055,1975.81
1101053,1104056,2738.77
1101053,1104057,3209.47
1101053,1104058,1296.84
1101053,1104059,2201.73
1101053,1104062,2254.61
1101053,1104065,1474.51
1101053,1104066,2202
1101053,1104067,1351.08
1101053,1104068,3017.87
1101053,1104069,474.28
1101053,1104070,1803.7
1101053,1104071,4344.23
1101053,1104072,3009.63
1101053,1104073,3989.61
1101053,1105053,2752.13
1101053,1105054,1349.67
1101053,1105055,820.82
1101053,1105056,1318.43
1101053,1105057,621.04
1101053,1105058,1623
1101053,1105059,1637.81
1101053,1105060,1598.71
1101053,1105061,2134.22
1101053,1105062,2257.96
1101053,1105063,2945.61
1101053,1105064,902.02
1101053,1105065,1314.28
1101053,1105066,2071.87
1101053,1105067,1143.04
1101053,1106071,1284.55
1101053,1106072,2423.84
1101053,1106073,1496.94
1101053,1106080,1868.91
1101053,1106081,5249.89
