"source","target","strength"
1101053,1101053,264527.08
1101053,1101054,15106.35
1101053,1101055,27619.37
1101053,1101056,11150.7
1101053,1101057,7859.24
1101053,1101058,21265.37
1101053,1101060,10155.3
1101053,1101061,126523.09
1101053,1101063,4623.24
1101053,1101064,8179.43
1101053,1101067,1532.51
1101053,1101068,1497.35
1101053,1101069,438.06
1101053,1101070,1254.73
1101053,1101071,2092.73
1101053,1101072,76226.22
1101053,1101073,7431.4
1101053,1102052,55532.65
1101053,1102054,15443.88
1101053,1102055,46019.22
1101053,1102057,4031.93
1101053,1102058,2222.74
1101053,1102059,4622.4
1101053,1102060,5558.89
1101053,1102065,663.39
1101053,1102067,1334.62
1101053,1102068,3577.55
1101053,1102069,3231.59
1101053,1102070,2055.1
1101053,1102071,1842.32
1101053,1102072,1387.86
1101053,1102073,1004.51
1101053,1103051,2020.93
1101053,1103052,1617.53
1101053,1103053,3914.34
1101053,1103057,2363.98
1101053,1103058,946.96
1101053,1103059,1162.85
1101053,1103063,4731.76
1101053,1103064,515.37
1101053,1103065,1983.42
1101053,1103066,2809.3
1101053,1103069,3641.87
1101053,1103070,1100.25
1101053,1103071,3626.46
1101053,1103072,3333.77
1101053,1103073,9668.06
1101053,1103074,7592.86
1101053,1104052,1275.59
1101053,1104054,2028.65
1101053,1104055,1494.45
1101053,1104056,1771.07
1101053,1104057,2393.46
1101053,1104058,1001.71
1101053,1104059,1293.44
1101053,1104062,1285.15
1101053,1104065,835.84
1101053,1104066,1634.69
1101053,1104067,794.12
1101053,1104068,1732.78
1101053,1104069,423.49
1101053,1104070,1033.81
1101053,1104071,2916.04
1101053,1104072,2063.92
1101053,1104073,3496.82
1101053,1105053,1547.26
1101053,1105054,789.17
1101053,1105055,678.06
1101053,1105056,950.78
1101053,1105057,673.66
1101053,1105058,985.57
1101053,1105059,989.24
1101053,1105060,1278.82
1101053,1105061,1450.63
1101053,1105062,1408.18
1101053,1105063,2463.54
1101053,1105064,926.08
1101053,1105065,908.66
1101053,1105066,1416.68
1101053,1105067,987.14
1101053,1106071,1336.39
1101053,1106072,1359.79
1101053,1106073,842.28
1101053,1106080,1829.15
1101053,1106081,4334.92
1101053,1106082,3306.26
1101053,1106083,3023.77
1101053,1106084,739.67
1101053,1106086,1249.95
1101053,1106087,1591.5
1101053,1106088,1421.8
1101053,1106089,1715.85
1101053,1106090,1204.14
1101053,1106091,2211
1101053,1107052,996.5
1101053,1107054,498.15
1101053,1107055,323.89
1101053,1107057,1192.66
1101053,1107059,801.93
1101053,1107060,992.56
1101053,1107061,591.87
1101053,1107062,1257
1101053,1107064,1280.94
1101053,1107065,701.35
1101053,1107068,615.48
1101053,1107069,1952.46
1101053,1107070,666.08
1101053,1107071,781.8
1101053,1107072,609.71
1101053,1107073,1281.79
1101053,1108058,1180.23
1101053,1108059,2628.44
1101053,1108060,2065.37
1101053,1108061,2367.9
1101053,1108062,1658.11
1101053,1108063,3007.74
1101053,1108064,2549.26
1101053,1108065,2495.41
1101053,1108066,3309
1101053,1108068,1395.35
1101053,1108071,1519.93
1101053,1108072,2045.73
1101053,1108076,1187.38
1101053,1108077,498.47
1101053,1108078,587.48
1101053,1108081,12688.45
1101053,1108082,4279.31
1101053,1108083,4105.11
1101053,1108084,2693.28
1101053,1108085,1793.54
1101053,1109060,1570.98
1101053,1109061,854.18
1101053,1109062,734.11
1101053,1109063,926.86
1101053,1109064,969.08
1101053,1109065,1467.1
1101053,1109069,1626.3
1101053,1109070,1443.22
1101053,1109071,3048.66
1101053,1109072,2022.71
1101053,1109073,2472.79
1101053,1109074,1527.39
1101053,1109075,1846.4
1101053,1110051,968.87
1101053,1110052,1051
1101053,1110053,1084.34
1101053,1110054,1207.56
1101053,1110055,1235.28
1101053,1110056,492.05
1101053,1110057,1015.63
1101053,1110059,1144.26
1101053,1110060,1987.65
1101053,1110061,361.69
1101053,1110062,2057.3
1101053,1110063,1059.23
1101053,1110064,1021.75
1101053,1110065,961.22
1101053,1111051,1302.84
1101053,1111052,1315.97
1101053,1111053,1694.36
1101053,1111056,1835.69
1101053,1111058,1702.93
1101053,1111059,630.08
1101053,1111060,1446.04
1101053,1111061,952.49
1101053,1111064,1008.53
1101053,1111065,1191.64
1101053,1111066,1885.3
1101053,1111069,817.89
1101053,1111072,1187.68
1101053,1111073,913.93
1101053,1111074,489.9
1101053,1111076,689.76
1101053,1111077,1745.37
1101053,1111078,1586.9
1101053,1111079,1522.58
