"source","target","strength"
1101053,1101053,231818.63
1101053,1101054,17169.82
1101053,1101055,26210.43
1101053,1101056,12524.83
1101053,1101057,9081.74
1101053,1101058,22760.2
1101053,1101060,14243.48
1101053,1101061,132878.85
1101053,1101063,4976.04
1101053,1101064,9457.37
1101053,1101067,2045.98
1101053,1101068,1807.67
1101053,1101069,803.58
1101053,1101070,1115.31
1101053,1101071,1878.18
1101053,1101072,103463.69
1101053,1101073,7957.08
1101053,1102052,55865.95
1101053,1102054,14589.23
1101053,1102055,46631.03
1101053,1102057,3960.7
1101053,1102058,2843.12
1101053,1102059,4551.05
1101053,1102060,6197.68
1101053,1102065,682.32
1101053,1102067,1689.14
1101053,1102068,3807.67
1101053,1102069,2521.66
1101053,1102070,2322.49
1101053,1102071,1536.55
1101053,1102072,1558.33
1101053,1102073,893.43
1101053,1103051,2021.54
1101053,1103052,1841.78
1101053,1103053,4634.78
1101053,1103057,2002.86
1101053,1103058,923.3
1101053,1103059,1248.93
1101053,1103063,4930.69
1101053,1103064,573.54
1101053,1103065,2153.82
1101053,1103066,2950.06
1101053,1103069,3085.06
1101053,1103070,1219.54
1101053,1103071,3437.08
1101053,1103072,3424.14
1101053,1103073,9964.12
1101053,1103074,7226.4
1101053,1104052,796.91
1101053,1104054,1722.18
1101053,1104055,1272.03
1101053,1104056,1924.34
1101053,1104057,2341.14
1101053,1104058,1025.18
1101053,1104059,1590.15
1101053,1104062,1400.36
1101053,1104065,1112.44
1101053,1104066,1451.28
1101053,1104067,991.59
1101053,1104068,1991.97
1101053,1104069,364.51
1101053,1104070,1153.16
1101053,1104071,3079.48
1101053,1104072,2013.5
1101053,1104073,3161.12
1101053,1105053,1904.78
1101053,1105054,816.28
1101053,1105055,561.66
1101053,1105056,781.54
1101053,1105057,360.36
1101053,1105058,1277.75
1101053,1105059,1080.08
1101053,1105060,1076.96
1101053,1105061,1170.48
1101053,1105062,1444.21
1101053,1105063,2111.94
1101053,1105064,775.54
1101053,1105065,895.4
1101053,1105066,1271.23
1101053,1105067,1021.88
1101053,1106071,926.87
1101053,1106072,1533.81
1101053,1106073,963.89
1101053,1106080,1709.51
1101053,1106081,3658.89
1101053,1106082,3609.73
1101053,1106083,2273.99
1101053,1106084,806.25
1101053,1106086,1197.39
1101053,1106087,1785.65
1101053,1106088,1952.47
1101053,1106089,1845.35
1101053,1106090,1260.08
1101053,1106091,2439.47
1101053,1107052,582.08
1101053,1107054,560.44
1101053,1107055,378.15
1101053,1107057,842.73
1101053,1107059,489.56
1101053,1107060,1471.88
1101053,1107061,397.17
1101053,1107062,982.4
1101053,1107064,937.8
1101053,1107065,727.27
1101053,1107068,549.38
1101053,1107069,1710.02
1101053,1107070,675.06
1101053,1107071,891.54
1101053,1107072,657.48
1101053,1107073,1189.56
1101053,1108058,1414.31
1101053,1108059,1847.92
1101053,1108060,1778.34
1101053,1108061,2349.34
1101053,1108062,1621.32
1101053,1108063,2843.6
1101053,1108064,2410.12
1101053,1108065,2346.4
1101053,1108066,3049.53
1101053,1108068,1629.26
1101053,1108071,1582.55
1101053,1108072,1583.84
1101053,1108076,1207.68
1101053,1108077,596.06
1101053,1108078,558.57
1101053,1108081,12267.13
1101053,1108082,3539.02
1101053,1108083,3839.11
1101053,1108084,2360.57
1101053,1108085,1514.71
1101053,1109060,922.63
1101053,1109061,940.42
1101053,1109062,665.27
1101053,1109063,982.63
1101053,1109064,1192.13
1101053,1109065,1156.65
1101053,1109069,1477.18
1101053,1109070,1710.61
1101053,1109071,2630.61
1101053,1109072,2368.75
1101053,1109073,2011.6
1101053,1109074,1513.87
1101053,1109075,1783.87
1101053,1110051,797.51
1101053,1110052,1017.24
1101053,1110053,995.05
1101053,1110054,894.86
1101053,1110055,1141.52
1101053,1110056,289.24
1101053,1110057,869.65
1101053,1110059,1338.8
1101053,1110060,1565.03
1101053,1110061,318.52
1101053,1110062,1636.8
1101053,1110063,1018.01
1101053,1110064,815.05
1101053,1110065,495.04
1101053,1111051,1125.06
1101053,1111052,1245.29
1101053,1111053,1424.33
1101053,1111056,1589.73
1101053,1111058,1266.6
1101053,1111059,525.38
1101053,1111060,951.83
1101053,1111061,1072.52
1101053,1111064,551.55
1101053,1111065,1326.09
1101053,1111066,1486.31
1101053,1111069,775.41
1101053,1111072,1381.9
1101053,1111073,781.36
1101053,1111074,488.69
1101053,1111076,792.73
