"source","target","strength"
1101053,1101053,3626209.88
1101053,1101054,219646.3
1101053,1101055,352228.25
1101053,1101056,186838.99
1101053,1101057,135174.72
1101053,1101058,331976.91
1101053,1101060,162709.88
1101053,1101061,1840913.55
1101053,1101063,70165.39
1101053,1101064,136472.64
1101053,1101067,25110.64
1101053,1101068,23694.77
1101053,1101069,10326.47
1101053,1101070,15126.39
1101053,1101071,31293.94
1101053,1101072,1466198.82
1101053,1101073,120798.49
1101053,1102052,769743.27
1101053,1102054,223463.39
1101053,1102055,757105.41
1101053,1102057,63514.72
1101053,1102058,44128.1
1101053,1102059,75230.48
1101053,1102060,80116.82
1101053,1102065,11109.61
1101053,1102067,26790.33
1101053,1102068,49511.06
1101053,1102069,35249.92
1101053,1102070,27665.77
1101053,1102071,25365.93
1101053,1102072,24726.4
1101053,1102073,12235.06
1101053,1103051,31532.41
1101053,1103052,31844.92
1101053,1103053,74563.93
1101053,1103057,28694.98
1101053,1103058,12855.9
1101053,1103059,18302.26
1101053,1103063,56556.83
1101053,1103064,5785.34
1101053,1103065,32521.62
1101053,1103066,42392.8
1101053,1103069,60104.16
1101053,1103070,17202.48
1101053,1103071,50692.06
1101053,1103072,47646.52
1101053,1103073,160834.37
1101053,1103074,95858.04
1101053,1104052,11771.57
1101053,1104054,24825.63
1101053,1104055,22098.31
1101053,1104056,27053.91
1101053,1104057,33002.38
1101053,1104058,11688.29
1101053,1104059,20760.04
1101053,1104062,18399.03
1101053,1104065,16805.59
1101053,1104066,18576.98
1101053,1104067,12964.07
1101053,1104068,26117.29
1101053,1104069,5663.49
1101053,1104070,17087.26
1101053,1104071,44169.1
1101053,1104072,28483.89
1101053,1104073,42400.75
1101053,1105053,28136.62
1101053,1105054,11609.81
1101053,1105055,8597.67
1101053,1105056,14599.27
1101053,1105057,7013.57
1101053,1105058,15240.19
1101053,1105059,14140.15
1101053,1105060,15363.17
1101053,1105061,19103.67
1101053,1105062,23102.79
1101053,1105063,34304.65
1101053,1105064,11292.42
1101053,1105065,14662.92
1101053,1105066,22180.73
1101053,1105067,15405.39
1101053,1106071,19006.42
1101053,1106072,23463.51
1101053,1106073,14519.77
1101053,1106080,19586.72
1101053,1106081,56420.17
1101053,1106082,47332.35
1101053,1106083,35863.74
1101053,1106084,12860.72
1101053,1106086,14271.8
1101053,1106087,28118.72
1101053,1106088,25796.56
1101053,1106089,30142.1
1101053,1106090,16624.09
1101053,1106091,34872.26
1101053,1107052,9801
1101053,1107054,6874.73
1101053,1107055,5397.03
1101053,1107057,10565.26
1101053,1107059,6715.74
1101053,1107060,20674.49
1101053,1107061,5976.18
1101053,1107062,14292.4
1101053,1107064,13496.99
1101053,1107065,10259.63
1101053,1107068,5576.46
1101053,1107069,19937.06
1101053,1107070,10481.76
1101053,1107071,13978.47
1101053,1107072,8945.39
1101053,1107073,20010.47
1101053,1108058,19527.61
1101053,1108059,24980.57
1101053,1108060,37001.78
1101053,1108061,31604.11
1101053,1108062,23442.02
1101053,1108063,37752.15
1101053,1108064,29810.14
1101053,1108065,34218.07
1101053,1108066,46744.19
1101053,1108068,25478.47
1101053,1108071,26011.58
