"month","modularity","assortativity.outout","assortativity.outin","assortativity.inout","assortativity.inin","ARI_vs_3years"
"202001",0.52999545979078,0.270707608355256,0.270714346355433,0.270637647127881,0.270690600341359,0.901477750815256
"202002",0.535843937846573,0.276826638501353,0.276905151024159,0.276858645746418,0.276963151166781,0.938491831170874
"202003",0.533279474887627,0.268662748037375,0.268838983756506,0.268825840192113,0.269023108277197,0.962079299399489
"202004",0.54079874218623,0.274918092358779,0.275012777299645,0.274971273397471,0.275095930782436,0.962079299399489
"202005",0.548412375681864,0.280722991152529,0.28091147412802,0.280882145284476,0.281098978613219,0.929041540724554
"202006",0.543334185258744,0.281722759156795,0.281896913220296,0.28186442297191,0.282068903986115,0.929041540724554
"202007",0.540937860913619,0.282522010548894,0.282685414677481,0.282637326061875,0.282832664107891,0.929041540724554
"202008",0.541240819918413,0.26955445126235,0.269691105837067,0.269681943827691,0.269859767734563,0.929041540724554
"202009",0.539676911507467,0.262816544548879,0.263034111432835,0.263018743304407,0.263271573454987,0.962079299399489
"202010",0.543445047566673,0.279570838141616,0.279640549764526,0.279596217482313,0.279711553024789,0.988934058514225
"202011",0.538645107651539,0.270431429176354,0.270543562340374,0.270511970052928,0.270667466309499,0.962079299399489
"202012",0.519626164247611,0.231041343566602,0.231276215322317,0.231260226726401,0.231527515343384,0.962079299399489
"202101",0.526085298796901,0.239876463273875,0.240073638020649,0.240056641111823,0.240281723971788,0.917768386824932
"202102",0.538266470962259,0.264285695363739,0.264411204981513,0.264384057830539,0.264551401632463,0.956384459612787
"202103",0.541350363471087,0.27880985959748,0.278876438891905,0.278835427926375,0.278929766108324,0.994040687017338
"202104",0.544208084381577,0.28339347370931,0.283490725636796,0.283447363206397,0.283574514232428,0.9639140293814
"202105",0.546776037243583,0.277395205143293,0.277562753053356,0.277523140581228,0.277722342585868,0.968449190816276
"202106",0.545785850686166,0.283755705062392,0.28389890278103,0.283852611755801,0.284023446725646,0.978090027865782
"202107",0.541280990161974,0.256113721019303,0.256267927594952,0.256239221090581,0.256428272355322,1
"202108",0.545315527100223,0.261147367718444,0.261368846521967,0.261348764804534,0.261598492110158,0.955393179530798
"202109",0.553451052511199,0.273047715203498,0.273310354393152,0.273287915002415,0.273584083977617,0.968449190816276
"202110",0.549205302287184,0.273371538417056,0.27343898502867,0.273393822904654,0.273500960399403,0.968449190816276
"202111",0.54067580565742,0.281708231856127,0.281691661407011,0.281627940224706,0.281649892369515,0.968449190816276
"202112",0.533312006768257,0.259438685387474,0.259184321436893,0.2591068305595,0.258881926621124,0.923288982318002
"202201",0.539921792082166,0.263809485541305,0.263864867083774,0.263817003150055,0.263907640197176,0.986503011398611
"202202",0.542608064850617,0.260972191734485,0.261072663635016,0.261032562008998,0.261167559784099,0.988934058514225
"202203",0.552245407812196,0.274245667048418,0.274298865592977,0.274255111919124,0.274334133218289,0.968449190816276
"202204",0.555978681946894,0.300163962506841,0.300026179716875,0.29995723909339,0.299860964282449,0.817044801674878
"202205",0.55851008753392,0.300922046428348,0.300921558036251,0.300844027173412,0.300884550531106,0.817044801674878
"202206",0.557214512411432,0.296652289760502,0.2966140554774,0.296531028150055,0.296539894373835,0.968449190816276
"202207",0.554629434087436,0.29459280254668,0.294545181237586,0.294469769230758,0.294465372498827,0.968449190816276
"202208",0.553923170612067,0.293277099166397,0.293237856871024,0.293169192819015,0.293170806195969,0.965979079439607
"202209",0.558474920585202,0.307611533173245,0.307554580512326,0.307488872466366,0.307474107305608,0.904554396335849
"202210",0.556645062541458,0.303813744266388,0.303630214127352,0.303534949294725,0.303404143986373,0.904554396335849
"202211",0.552610050064681,0.307181207019414,0.307040853234112,0.306946449592162,0.306854625752813,0.846466528288024
"202212",0.548448596986564,0.294234650370847,0.293996654332122,0.293876113829332,0.293699311683948,0.968449190816276
